문1-1.문화예술행사관람실태직접관람횟수_총합,문3-7.문화예술행사(직접관람)_선택기준,문3-8.문화예술행사(직접관람)_관람걸림돌,문4-1.매체를이용한문화예술행사관람횟수_총합,문7-1.문화예술관련많이지출하는항목_1순위,문7-2.문화예술관련향후지출을늘리고싶은항목_1순위,문13.문화행사참여시가장큰어려움,문14.1년이내문화공간에서개최하는문화행사참여의향,문18.역사문화유적지방문경험여부,문19.1년이내역사문화유적지방문의향,문20.축제(거리축제포함)방문경험여부,문21.1년이내축제참여의향,성별,연령,학력,동거가구원수,혼인상태,가구주여부,종사상지위,가구소득,시도,장애등록여부,문12-1.문화예술활동공간이용횟수_총합,문12-4.문화예술활동문화행사참석횟수_총합,문15-1.문화관련자원봉사활동참여횟수,문18-A.역사문화유적지방문경험횟수,문20-A.축제(거리축제포함)방문경험횟수
0,1,3,60,28,28,3,2,2,1,2,6,1,5,3,2,1,2,5,1,16,1,2,0,,,
0,2,3,60,28,18,3,2,2,1,2,4,1,5,1,1,3,1,5,1,16,3,2,0,,,
3,2,1,32,17,17,1,1,2,5,1,4,1,1,2,2,1,2,5,1,2,1,,,,,1
0,2,2,60,28,28,2,2,2,5,2,4,1,7,2,2,2,1,1,3,2,1,,,,,
0,2,1,90,28,28,1,2,2,4,2,4,2,7,1,2,2,2,5,1,2,1,,,,,
0,2,1,50,28,28,1,2,2,3,1,5,1,7,1,2,2,1,5,1,2,1,,,,,1
0,2,2,100,28,28,2,2,2,4,2,4,2,6,2,2,2,2,1,3,2,1,,,,,
10,2,1,39,17,17,1,1,2,4,2,4,1,5,4,3,2,1,1,7,2,1,2,0,,,
0,2,1,60,28,28,1,2,2,4,1,5,1,7,1,2,2,1,5,1,2,1,,,,,1
1,1,2,105,8,17,2,2,1,6,1,5,2,4,3,3,2,1,1,4,6,1,2,0,,2,2
4,1,1,50,17,17,6,1,2,5,2,4,2,2,3,3,1,2,5,5,2,1,15,0,,,
0,2,3,20,28,17,2,2,2,4,2,4,2,3,4,3,1,2,1,5,2,1,,,,,
0,2,2,65,28,17,2,2,2,4,2,4,1,4,4,3,3,1,1,4,2,1,8,0,,,
0,2,2,85,28,28,2,2,2,4,2,4,1,6,2,2,2,1,1,3,2,1,,,,,
0,9,7,20,8,14,6,1,2,7,1,7,1,6,3,3,2,1,5,4,5,1,2,0,,,1
2,9,2,2,17,17,2,2,2,3,2,4,1,3,4,2,1,2,3,3,9,1,,,,,
1,9,1,4,17,18,1,2,2,5,2,5,2,7,1,1,3,1,5,1,9,1,,,,,
0,2,1,15,9,17,1,1,2,7,1,7,2,6,2,2,2,2,1,3,5,1,1,0,,,1
0,9,8,20,13,28,8,1,2,5,2,4,1,6,2,2,2,1,3,2,14,1,2,0,,,
0,2,2,210,28,28,2,2,2,4,2,4,2,5,3,3,2,2,4,4,14,1,,,,,
4,1,2,105,17,17,2,2,1,5,1,5,1,4,3,1,2,1,1,4,6,1,4,0,,4,2
0,2,7,150,28,17,7,1,2,4,2,4,1,4,3,1,1,1,5,1,12,1,12,0,,,
0,2,2,30,18,1,2,2,2,6,1,6,2,6,2,1,3,1,1,1,11,1,2,0,,,2
2,1,8,53,17,17,3,2,2,1,2,1,1,1,2,3,1,2,5,4,11,1,,,,,
0,1,3,30,8,8,2,2,2,1,2,1,1,5,4,3,2,1,1,5,11,1,,,,,
0,1,3,50,9,28,3,2,2,1,2,1,1,1,2,3,1,2,5,3,11,1,,,,,
0,1,2,5,8,28,3,2,2,1,2,1,1,2,3,3,1,2,5,4,11,1,,,,,
3,2,1,17,17,1,2,1,2,5,2,4,1,4,3,3,2,1,3,4,8,1,6,0,,,
0,1,2,10,28,1,3,2,1,6,2,2,1,2,3,2,1,1,5,1,8,1,5,0,,6,
24,2,1,110,17,17,3,1,2,5,2,6,1,1,2,3,1,2,5,6,8,1,3,0,,,
5,9,2,4,17,17,3,2,2,5,2,5,1,3,4,3,2,2,1,5,12,1,,,,,
0,1,1,5,8,17,2,2,2,5,2,3,1,3,4,2,2,1,1,4,6,1,2,0,,,
0,5,1,100,28,28,1,2,2,2,2,2,2,6,1,1,2,1,5,1,12,1,,,,,
2,2,3,100,17,9,6,1,1,6,2,5,2,7,3,1,3,1,5,1,6,1,1,0,,2,
10,1,2,205,17,17,2,2,2,4,2,4,2,3,4,3,1,2,1,4,6,1,,,,,
6,1,8,10,17,17,2,1,2,5,2,6,1,2,4,3,1,2,1,5,6,1,,,,,
0,8,2,,8,8,2,2,2,4,1,4,1,5,3,1,2,1,2,4,9,1,,,,,1
0,5,2,2,17,28,2,2,1,4,1,4,1,5,3,3,2,1,2,4,9,1,,,,2,2
0,5,2,,28,28,2,2,2,1,2,1,1,5,2,3,2,1,1,3,9,1,,,,,
0,2,6,2,28,18,6,1,1,5,1,5,2,7,1,2,2,2,5,2,1,1,11,3,,3,2
12,3,2,350,17,17,2,2,1,6,1,6,1,4,4,1,1,1,1,5,6,1,2,0,,5,5
30,2,2,,17,28,2,2,2,3,2,4,1,2,4,1,1,1,1,3,6,1,,,,,
